2.464030549258532377e-01,4.758735704106521469e-01,7.894909528934490606e-02,6.777573444328107710e-01,9.788643949353823537e-01,6.055240449999208519e-01,1.422200515382470165e-01,6.984308591964395463e-01,3.208917482282823697e-01,5.730344621980802966e-01
5.726664034143019721e-01,1.099331263599577779e-01,5.053786449237485101e-03,8.772631182378753945e-01,9.726675045624968430e-01,3.657200614126782101e-01,3.926778678714447635e-01,2.533196771963697191e-02,4.653734902716541999e-01,8.254390174954693293e-01
7.016919896470743545e-01,9.135812844336058669e-01,3.794784943448981096e-02,5.130436213467588491e-01,6.719618611381894535e-02,2.894708510089598619e-01,7.251624955919706572e-01,6.046761421346922294e-01,6.550242629734537303e-02,4.339171342538684639e-01
2.457827028544615766e-01,7.307432701656049190e-01,8.606644954250085577e-01,5.479790006704522431e-01,5.264176648625816801e-01,2.083121217068504283e-01,8.356053230534135068e-01,1.366489788193141486e-01,7.141771577209434785e-01,7.934002399143578188e-01
9.002783337365763972e-01,6.201232694627825115e-01,6.851733650464766345e-01,4.328685125508492382e-01,5.149234012619815504e-01,1.260860241544358162e-01,7.471985850468254586e-01,5.845478209671178815e-01,9.800634266574176356e-01,9.224247491273926958e-01
2.486411207009497915e-01,8.895805847482841644e-01,9.505558754419239920e-01,4.778242276853909010e-01,1.521142814977773927e-01,6.613949207719229673e-01,1.231886131891162250e-01,3.958763289931616081e-01,1.456887516551205186e-01,3.313450321964711565e-01
7.772146191196969145e-01,1.606937209630143748e-01,1.254783858352959136e-01,1.745231071767642250e-01,9.855309468775920179e-01,7.376572113158775812e-01,7.330418675949756935e-01,6.548780208375595269e-01,7.353636432863632777e-01,2.312924159892884024e-01
9.442524901160582740e-01,8.968271994956601434e-01,2.391486932634049323e-01,8.526577848440523022e-01,4.162379922375899488e-01,1.079145291608529789e-01,6.703778737547750888e-01,9.505889031577552384e-02,2.299422851316857974e-01,8.427224085856545033e-01
1.136854033254375285e-02,3.397056321696103609e-01,3.958054235787906716e-01,2.031137332451722344e-01,2.125337103100177760e-02,1.136218128865348342e-01,9.264971333402791664e-01,1.450869956174950515e-01,8.719914292958151902e-01,1.506420250753766066e-01
3.407998463112098531e-01,3.765707273505778385e-01,1.856590244595623940e-01,4.568024106601227263e-01,7.184284808656987709e-01,4.694206336434443294e-01,5.193086154801535015e-01,9.485257623633305268e-01,4.159607021320349540e-01,9.801209838558545551e-01
